track,artist,seeds,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,mbid,spotify_id,genre
Sunflower,Low,['dark'],16,4.573515152,3.551212121,4.587515152,b2593a09-e550-4ed7-a581-5d749388d03b,0zhtTDPiMU1s0DZJNRlDXw,slowcore
Baby I'm Bleeding,JPEGMAFIA,"['dark', 'spooky']",2,4.74,5.045,4.545,,5pUudDDuJgIpgKIGk2zmxv,hardcore
Thanatos,Soap&Skin,['dark'],12,4.636564885,4.228931298,4.407557252,845151ee-57e6-429b-a7b6-13c318596361,5FimYJjaagg8XNp8ggeUBd,piano
False God,Taylor Swift,['dark'],1,5.08,4.09,4.61,,5hQSXkFgbxjZo9uCwd11so,pop
I'm Hiding,Korn,['dark'],1,5.08,4.09,4.61,75a3720a-f4ee-4221-8231-a1ddaf172f06,,nu metal
Pacific Coast Highway,Sonic Youth,"['dark', 'driving', 'atmospheric']",10,4.064210526,4.140087719,4.168421053,7256e558-eee9-4480-bc81-0ddd2699b838,4SRKoxZeDV2x6f7EUFtwnD,noise rock
Uritual,Boards of Canada,['dark'],1,5.08,4.09,4.61,97172929-e79d-43d9-92e8-7c0da4f3c5f4,4FgeaL18EQvvxEcnaJbnbg,ambient
Burning Up,Ladytron,['dark'],14,5.817222222,4.433333333,5.232777778,800a43b1-41e7-41d8-aaf9-578c72cc7a12,7jmrTQ9AymxY5U3e3pxC87,electronic
Nose Over Tail,Alkaline Trio,['dark'],5,4.691666667,3.796666667,4.006666667,02c77964-9fa1-4aa3-b753-f9b8b8b939ed,14SdvT0LoHrxpbHbtNFovm,punk
Before the Dawn,Evanescence,['dark'],25,5.287238095,4.291619048,5.083142857,c5d3e741-47cf-4f2e-98b3-9b8dce684d0d,,rock
Jazz Thieves,Depeche Mode,['dark'],5,4.948888889,4.281111111,4.633333333,f7ac860e-5ba7-46f4-b296-0852d03edcbf,0INjx1hsBuyXAnaNh9ajpB,electronic
Lost,Gorilla Zoe,['dark'],1,5.08,4.09,4.61,,6XIiqQp6A0gzaIEaDszkZX,rap
Come to Dust,Boards of Canada,"['dark', 'ethereal', 'nostalgic']",4,3.6675,3.33,3.3025,c1a36cea-bbc7-455d-a43b-281b8f56c14b,5Rq43IH5VHoSkeGGR3gwl0,electronic
I've Seen Enough,Cold War Kids,['dark'],4,5.358,4.99,4.956,4a30592e-e040-4900-a1ad-3983baf805be,,indie rock
Baby,Iggy Pop,['dark'],3,5.03,3.318333333,4.568333333,802c71f4-02be-437b-8e71-9280802712c3,1ISckPYj9zSrjGv3oES9iw,punk
The Dead of Night,Depeche Mode,['dark'],7,5.541388889,5.163611111,4.9775,4524fdd8-99dd-4d49-9d98-a88f6fd49395,1UDj3XPrD8299KefceYQeu,electronic
Broken,Depeche Mode,['dark'],2,5.395428571,4.309428571,5.189428571,00bf93f4-0d97-4188-8b77-6cfcd529f65e,1Hm9pX5iwwS7jJLLPad9yJ,synthpop
I Gave You Power,Nas,"['dark', 'reflective']",8,5.597,3.957,5.943,d1086b8b-2e08-4bcc-93df-bcfc3dcbe2a1,4dSLfdnCy43DPJiqpoZoKe,hip hop
The Fear,Pulp,"['dark', 'paranoid', 'bitter', 'epic', 'nostalgic', 'powerful', 'atmospheric']",17,4.770833333,4.676076389,4.625659722,6a6dc554-363f-4e3e-a87c-3705b8b1fbaa,4U6Cr9BFqSLMELIcms23CP,britpop
Miracle,Hurts,['dark'],4,5.493333333,4.25,4.975,a249472f-c9b7-4281-a93f-d3cd6f7bad3d,0s28qR4TvOmbHZwKzkeeRj,british
Fuck With Myself,Banks,"['dark', 'silly', 'negative']",8,6.116666667,5.014444444,5.403333333,,3yMQ2HIVpgZHKLLBCBJ52e,electronic
These Are My Twisted Words,Radiohead,"['dark', 'epic', 'atmospheric', 'hypnotic']",10,5.448717949,3.998034188,4.608376068,1ff3fdcc-282b-4f29-b726-a29da5357c93,5OuWGQrMbScuAf2dUbdNKj,electronic
Just A Little Boy (for Chester Burnett),Swans,"['dark', 'gritty', 'atmospheric']",4,3.444035088,5.147105263,4.553947368,feae2e21-9837-4dc2-bac4-d73c88bf41fc,29XjTmZWEF4Sqakjtb6GwP,noise
Cicely,Cocteau Twins,"['dark', 'ethereal']",2,0.754455446,0.607425743,0.684653465,135876cd-fea0-4b37-a315-52e0c89bd6f0,1L92V2HTw2VJ7xxapZ7o4I,dream pop
11 Ghosts II,Nine Inch Nails,['dark'],3,3.531515152,3.305151515,3.464545455,a95eeadf-9c4a-486d-9610-58a41b6f43ed,2BSVnzD8ds8v5pFnoxQS3O,industrial
Song of the Sad Assassin,Why?,['dark'],3,3.937241379,4.001034483,4.429655172,3404da43-6fed-4431-a375-040e2f5c7ba6,0805QWQarvwwzaD5DNNPDf,experimental
Ice Princess,Azealia Banks,"['dark', 'cold', 'trippy']",7,4.694285714,3.764285714,4.745714286,1c420951-4e48-4486-b034-061d14e6ba9a,3ovGfP6El3Zif5oUXIdipC,rap
Dum Dum Boys,Iggy Pop,['dark'],6,4.512564103,3.494615385,4.118333333,01bf7485-3aea-46d6-beac-c30eb3969ea0,4D2oxcrgtaRlzpGwUVSKkA,punk
Intriguing Possibilities,Trent Reznor and Atticus Ross,['dark'],1,5.08,4.09,4.61,16b6cd7b-f9e5-4856-bd77-cf2c1218fafe,5hQGVKSgTsh7qaReZzVgtq,soundtrack
Death to Everyone,Bonnie 'Prince' Billy,"['dark', 'cathartic']",11,4.506190476,3.576190476,4.545714286,,6P6rpA3BHfRSx90X8BBLYP,singer-songwriter
Lawless,UNKLE,"['dark', 'trippy', 'energetic']",4,4.783962264,4.237735849,4.186603774,391c6847-83f5-49fa-868e-f4226c2ce977,049qrwZvxYt2MNG8kI8UBc,electronic
Black Cat,Ladytron,['dark'],7,5.35125,3.74725,4.8495,6a279ede-ce62-4edf-b013-9e251d98bfee,3uisdl2ibb7WxRqr7y9zXy,electronic
Silent Hedges,Bauhaus,['dark'],9,5.408636364,4.829772727,4.875909091,d1bb4b42-9ff7-4e49-86ab-aed43487c5e7,6gk5oYQGSD1cTFihScCycA,post-punk
God's Away on Business,Tom Waits,['dark'],14,4.016764706,3.892352941,5.040294118,2e396e08-8f74-4593-b41b-bd73367ee2ae,18nVec4X5DlXfePjAZkVwO,blues
Nature of Inviting,IAMX,"['dark', 'dramatic']",5,6.473064516,5.980967742,5.411290323,6f23acd9-bc59-4d81-ab31-9a8bd8a80792,1T53PxTiJCIAUVFY3kcqPt,electronic
A Cherry on Top,The Knife,"['dark', 'epic']",3,4.853333333,4.52,4.256666667,31c16861-a1b7-4707-b046-83122e41c11b,0K2Ei5FPCtn5iM8QRrANTo,electronic
Haunting,Halsey,['dark'],1,5.08,4.09,4.61,,1r1WtSrPbAOYHE7zwq4eqK,indie pop
See the Leaves,The Flaming Lips,"['dark', 'hypnotic']",2,5.165,3.91,4.275,685f728b-c037-4f09-816f-38deb86cc6c6,0rIquX56QHA77CKjYp2T80,psychedelic rock
"Aly, Walk with Me",The Raveonettes,"['dark', 'atmospheric']",7,5.678125,4.71875,5.0325,15e7ff88-2b99-4edc-bd61-e521fe91e4d8,2rNEUYh8hyr29Q8M7nHv9O,indie
Before the Bridge,Future Islands,"['dark', 'dreamy', 'atmospheric']",5,5.79,4.226666667,5.298333333,c530f382-7a04-4a21-8627-280b7ce9d6f4,4iPViJlgZcEJ8eWpPxQzpY,electronic
672,The Dresden Dolls,['dark'],1,5.08,4.09,4.61,a50ea3d0-2430-445c-96ee-5f74a62815a6,28M1tTIFvOCLwOq7ZqT5CF,piano
Aha!,Imogen Heap,['dark'],7,5.949,5.362,5.566,f5cf78f7-dbc1-43c1-a3a8-bf28e29aeb17,42itRd5WoYb42RSYOloJvD,ambient
"Not in Rivers, But in Drops",Isis,"['dark', 'atmospheric']",7,5.9008,4.314,5.252,ee38a45d-bd25-41fd-95a4-c3df0cccb633,5KuupriuKFfEHnTfLhb2h9,post-metal
Wrap Your Arms Around Me,The Knife,['dark'],2,6.54,4.725,5.265,2d500a19-aa0f-4017-84f8-e46439d24456,0QMNrroq08iZ3BEy8EW5dr,experimental
Figure 8,FKA twigs,"['dark', 'ethereal', 'epic', 'lush', 'atmospheric', 'trippy']",7,4.938333333,3.411666667,4.396666667,,5Y9IIH8Xmo1nuk0gfFjc4Q,electronic
Electric Light,PJ Harvey,['dark'],9,5.072235294,4.057529412,5.019411765,8e219a80-beaf-42a9-9082-e29d8ced139d,4g4W1hSbSCSoRWyFFXSdau,alternative
"Tag, You're It",Melanie Martinez,['dark'],1,5.08,4.09,4.61,,3u1FiuSpfsgVnekEMXgMwJ,indie
Sleep,Soap&Skin,['dark'],8,2.736306306,2.163063063,2.474414414,f0b99da2-3911-42a8-885c-26faad30d489,1qV60367XngbdM4hHFf8tU,piano
Who Killed Mr. Moonlight,Bauhaus,['dark'],7,4.7686,3.6376,4.412,91b4c6fe-1902-4e66-912a-77ea5dcee69f,,post-punk
Big Furry Head,Amon Tobin,['dark'],10,4.82212766,4.478723404,4.474042553,0be82490-104c-45cb-a832-a12457104ba1,1NOIIbDFL2xRlUxZQ91V8W,electronic
Terror Couple Kill Colonel,Bauhaus,['dark'],2,4.92,3.96,4.501428571,4c1c3bfc-a40b-42f9-a6b1-cecadb3d3934,5igtcGicAsO0kllTxDe5U4,post-punk
In Like the Rose,Black Rebel Motorcycle Club,['dark'],7,6.539117647,5.277647059,5.653333333,63e7e8b2-0e18-4b51-b5b2-fddcfcc1c8a2,2PIoeS2LZ8bppRFzN9ADeP,indie rock
Black Wings,Tom Waits,['dark'],15,4.628387097,3.963548387,5.271935484,2c3e0589-1dca-4938-ac29-59c17970893f,2Vj0hMRFCsIwBZjR7gL9jY,blues
And All That Could Have Been,Nine Inch Nails,"['dark', 'epic']",19,4.37156,3.93616,4.37832,f48f3b65-7864-4932-94b0-f4a1900a4512,5UMsIIsvwkuIK3AeV7WhAW,industrial
Workin' on Leavin' the Livin',Modest Mouse,"['dark', 'halloween', 'airy']",6,4.446315789,3.214473684,4.595877193,5b558be6-e424-44ba-8b07-8077414cb027,38EYtYO6oyWPDqOXMNZE1U,indie
All On Black,Alkaline Trio,['dark'],4,4.33,3.118,4.21,3b8fc462-520c-42e8-8614-9db39004556e,4rfYCOLDI3HjU7Ma0Do2l4,punk
Deep One Perfect Morning,The Jesus and Mary Chain,['dark'],3,6.4,3.766666667,5.963333333,77f19e51-9c92-4c6b-8f8d-b2a71c72253a,3D6ascwycdlxQ17H6PtfTa,post-punk
Drunk With Power,Puscifer,['dark'],3,4.633571429,3.649821429,4.282321429,d121c63e-a067-44a7-8607-6e3bb2999dbd,0oZVMcIMkhmQdmagSM7tQe,industrial
Miranda,Slowdive,"['dark', 'spooky', 'dreamy', 'ethereal']",8,5.38835443,4.417468354,4.879493671,c9c46a31-8132-4331-b78b-8356d1c86aa0,09up4LZcf0qLctrA9hJDyV,ambient
Another Day Full of Dread,Bonnie 'Prince' Billy,['dark'],10,4.999830508,3.839661017,4.730762712,,11Js4EcvYr8jjrVfUxAACN,folk
Bela Lugosi's Dead,Nouvelle Vague,"['dark', 'dreamy', 'mysterious', 'atmospheric', 'hypnotic']",17,5.645257143,4.5524,4.972285714,576a7114-d8e3-494c-b475-322a88c8dba1,0Fl0nllf1fRAM18s5y6mJo,bossa nova
Señorita,Vince Staples,['dark'],1,5.08,4.09,4.61,,734xplxSpoW22U5OeeZcr8,hip-hop
In the End,Charlotte Gainsbourg,['dark'],1,5.08,4.09,4.61,11fe48c3-0ce8-4199-a76f-e01dd02fc9da,75ETOi2lUOgsdTzvfJd3EL,indie
Foreign 2,King Krule,"['dark', 'trippy']",4,3.4175,2.7375,3.9,e6e66fc3-a5ee-4380-bbd6-92ade24fb4b7,5JsBlpOGm0L2DVKc16KpS0,rock
Wool,Earl Sweatshirt,['dark'],1,5.08,4.09,4.61,,228nYWqXzsBS9Ha0SIpM7q,hip-hop
Jodye,A$AP Rocky,['dark'],1,5.08,4.09,4.61,,1j6kDJttn6wbVyMaM42Nxm,rap
The Iron Sea,Keane,['dark'],6,3.732878788,3.231212121,3.731212121,f7a17cd6-b880-48df-9629-3c170b81712c,0ez9IVEDr3MFibDBWnZ2ZM,britpop
The Sun,Soap&Skin,['dark'],6,4.265581395,3.634883721,4.086046512,,2VLzLG33nhlmBG66Js2y3I,piano
Bloody Murderer,Cursive,['dark'],11,4.152727273,3.940909091,4.188181818,29303fb8-344f-4633-bae8-8cbce8407003,6jPvxP5YCowpPhLHrsCyfu,indie
I Don't Love,Have a Nice Life,"['dark', 'atmospheric']",7,4.761846154,4.234,4.685384615,62cc11d8-724c-41a6-baba-037129d78af0,1AOisyOwLgQ7EveVBCo0GG,shoegaze
Motion,Balam Acab,"['dark', 'ethereal']",2,2.54,2.045,2.305,360c1f4b-3da5-4a0a-89b4-ac52fccb0024,20Y5XZkFEJ7hEFPQq611vZ,electronic
The Beginning Is The End Is The Beginning,The Smashing Pumpkins,['dark'],17,5.034710744,4.281239669,4.740909091,9bde8956-00ce-4ecc-b857-92f603b04072,6kV5VZhLN5yVUXs1Qq40Lw,rock
Secret Garden,Patrick Wolf,['dark'],3,4.944096386,3.609277108,4.622289157,81a59188-5424-448f-8aa3-d6dccff16cb2,5LSiWvhp58amNmbzz5QfDu,indie
Heart's All Gone Interlude,blink-182,['dark'],2,5.88,3.45,5.805,,78G0qccaCPTSuLz7BjW7Ld,rock
Off Top,Earl Sweatshirt,"['dark', 'nostalgic']",2,5.88,4.23,4.83,,0Tnv9pQJ1CZfqTpW15xOCL,hip-hop
Caught a Lite Sneeze,Tori Amos,['dark'],19,5.60516129,4.400752688,5.178172043,18fb3442-fef1-4d45-b105-700b42b2bf02,2k2Nwz0FLUIKl7UyavRhjx,alternative
The Earth Will Shake,Thrice,['dark'],7,5.162153846,4.712461538,4.806615385,4955e695-50c1-45d6-9500-047688fc91c7,3sxnt2O8kPlIdkotvY7qE1,post-hardcore
Wholehearted Mess,Bear in Heaven,"['dark', 'trippy']",4,2.569636364,2.298,2.459090909,e99bb489-aa14-4df6-8432-0702400be6bb,0lTDOMHgz4ECRY0k1QY3ht,indie
Spiracle,Soap&Skin,['dark'],11,4.587377049,3.754836066,4.209098361,,5eLTe2ObhUzpzMg3lhvJL8,piano
Santa Clara,The National,"['dark', 'nostalgic']",6,3.501923077,2.724519231,3.527884615,0651a61b-c30e-43ac-b3c9-578ebf9806e9,5N0MxaA2TuMtIIRvlAbP9F,indie rock
Dragvandil,Grimes,"['dark', 'dreamy', 'ethereal']",3,4.2,2.996666667,3.63,1a80ac2c-d3b8-4018-a3f8-5ab9eae24748,1mQewsJCnL0vtVqnnPyEP0,experimental
My Sister Says the Saddest Things,Grimes,"['dark', 'dreamy', 'ethereal', 'soothing', 'fun', 'atmospheric']",7,3.869818182,2.6605,3.372954545,2da7deb4-c29d-4027-9a6e-4bb401239a60,0d5VKlE39Sgo36BoZdn1T6,lo-fi
Curtains,Aphex Twin,"['dark', 'ethereal', 'atmospheric']",13,5.524561404,3.8,5.101403509,,,ambient
Things I Did When I Was Dead,No Age,"['dark', 'dreamy']",3,6.23,4.22,5.513333333,69d9f29c-83a0-4dfe-94f4-e6dfdbea620e,67aMUxNuvrRn6ySOsTGp8o,noise rock
Bleak Bake,King Krule,"['dark', 'dreamy']",4,6.007777778,4.116666667,5.757777778,0a33c663-55f2-41b4-8ec4-f5ca960033e5,2rFjRW5QkFHvMC17wRWZUa,lo-fi
Relax My Beloved,Alex Clare,['dark'],2,6.135,4.445,4.965,f722e36a-dd68-4f38-b1ff-f05d5d61a217,1Hc7j3kQsTUrmeOYzLaF7W,dubstep
The Incident,Porcupine Tree,['dark'],6,5.455957447,4.220851064,4.667446809,4aad77c7-4dd2-4653-884d-052fc10a1fe1,3YJ4eZ4Zo4PLMnqzH3D9Yb,progressive rock
Slide,The Dresden Dolls,['dark'],20,4.797769784,4.482374101,4.681079137,1ce2f9da-dc3a-4dba-9ef9-749c8f700ac2,0MfZrUr6IgZKMHp7LLrK00,piano
California,EMA,"['dark', 'ethereal']",2,2.54,2.045,2.305,5cacddfb-013e-4900-85a6-53afdcd75052,0R1o96fLvysaTMKAxqrl5d,rock
Surrender,Evanescence,['dark'],8,5.188510638,4.23106383,4.553191489,8091c8f4-5cdf-48b6-9b19-52a235ebf218,,rock
Hard Time,Seinabo Sey,['dark'],1,5.08,4.09,4.61,99fd8574-c6f0-4a71-9de6-4154d2fd67f4,3gFS9CKU70Wm7vAoA0O1uW,soul
Nobody Loves You,Garbage,['dark'],12,4.676153846,3.877115385,4.602307692,9ab1bdf6-0f50-47e3-b7c5-36e97c6085c0,1vphpTHsBFa33BEs41WcSr,rock
The Night,Morphine,"['dark', 'nocturnal']",17,4.957419355,4.029225806,5.404580645,5e7d0d05-8601-43f7-a48e-9eb05a6ab445,5Xs1lp4eFxixXW9DkBYkdh,jazz
Redlights,Salem,['dark'],2,3.048,2.454,2.766,675675c3-bf67-4d8f-b282-7bdd4f6fea72,5V8JJqSuW3PTRij6j6jlp4,witch house
Star Shopping,LIL PEEP,['dark'],1,5.08,4.09,4.61,,30bqVoKjX479ab90a8Pafp,emo
A Drowning,How to Destroy Angels,"['dark', 'atmospheric']",13,5.096764706,4.07,4.837352941,4be8b26a-429f-4bb2-8cb6-79e3bed6d339,7r45I64VCo5uHhwrVjG01z,electronic
Phantom Other,Department of Eagles,['dark'],3,5.166666667,3.676666667,5.19,7a213c2d-81c8-40a4-a33f-b5c5be752b1e,40dbzr4RY7KQZ6qgr3nrgf,indie
The Child Inside,Depeche Mode,"['dark', 'ethereal']",2,2.54,2.045,2.305,67c1c691-23bc-44d6-a8e1-ea749eb680c7,64ZErTt9RyifRACEGNyFDn,synthpop
World of Dogs,Death Grips,['dark'],1,5.08,4.09,4.61,24125f87-6955-48d8-830a-e1f6c57015f0,1vsdF31uQBAxLTXIUAke6T,hip-hop
A Little Longing Goes Away,The Books,"['dark', 'ethereal']",8,4.100625,2.912578125,4.2896875,1b835636-5ae6-4456-a785-54af001e3847,5EZ3kKsIGNt1rBjH5OHwvf,sleep
She's Lost Control - 2007 Remaster,Joy Division,['dark'],1,5.08,4.09,4.61,,0rcLhYRihks3t4lFPtHhQV,alternative
In the Fog I,Tim Hecker,['dark'],2,4.41,4.11,4.285,,59X2sWl3SBtUgkMEE1RlEx,ambient
By Torpedo or Crohn's,Why?,['dark'],4,5.033421053,3.549912281,5.221578947,f221f628-ea12-4415-8bbe-bb7d9bb9da6f,3GiDXXf09NVaewvgeg5Qh8,hip-hop
poledo,Dinosaur Jr.,"['dark', 'spooky', 'dreamy', 'trippy']",6,3.902956522,3.648434783,3.719652174,82078129-fb0a-4ea2-8fa7-386ac74ecb44,1Hc2KCwmxk8JHpP7y9qwHl,alternative rock
Tragedy Bound,The Bravery,['dark'],4,6.028,4.044,5.426,24453255-0947-4983-8c03-e59be08a4cd0,7ApRHiW9Tmn23AvvZVWc7W,rock
Cruel,Tori Amos,"['dark', 'sensual']",20,5.983571429,5.349910714,5.416696429,962204e8-33b8-4be3-bb60-6148243436ec,44P0fcT04zRdFxykgpG4tk,alternative
We Want War,These New Puritans,"['dark', 'powerful']",7,5.478698225,4.560769231,5.368934911,69561830-aa96-4364-acf5-58ec5aaafe13,2s78y1uxCUalOMAlWn3nHS,post-punk
Cynthia,Soap&Skin,['dark'],10,1.786328125,1.49359375,1.7946875,960a210c-7091-4222-baf5-a39131f4bcb6,5CVUkhcghVy7994aDR479t,piano
Quantum Leap,John Maus,"['dark', 'nocturnal', 'atmospheric']",4,5.804901961,4.202156863,5.03245098,0f35b62e-77df-4568-9f46-a2be86ba53ba,0JIBpuLTbIdfKI5DUAgEl0,post-punk
Country Death Song,Violent Femmes,['dark'],12,5.031415094,4.105754717,4.928113208,c68114c4-6229-438d-8a55-67141a9acb28,75bs436F5nk7LVGQxDxq4j,alternative
Turbine Womb,Soap&Skin,['dark'],16,5.597560976,4.116585366,4.975243902,b944910e-8bbe-4aa7-b1df-b955240f3aac,7LgLxmqSjr1GTirRG8Hbvx,piano
Lights Out,Sonic Youth,['dark'],4,5.445531915,4.389148936,4.769361702,4248e771-1223-48db-afd4-7533bb360583,0ztp9HgfKXoqaLkd3lTDhx,alternative
Touch,Holy Other,['dark'],5,5.814142857,3.953714286,5.264428571,039c269d-941c-4975-81f1-23d27c7e7c9d,0IxGgqjkjVtC9za87YRGtK,ambient
Cry Wolf,Soap&Skin,"['dark', 'dreamy', 'atmospheric']",8,5.50313253,4.047710843,5.44939759,472c6a72-742f-4617-b434-aefc8d517e6f,1DyXIh2IhKpx9lfpLFwJB0,piano
Liese,Rammstein,"['dark', 'atmospheric']",2,5.4,4.09,4.86,26458b59-97cf-4a99-b625-d889941f31bc,6mdhbYs5sY1fXFk86bsnyD,industrial metal
Powerless,The Flaming Lips,"['dark', 'dreamy']",3,5.938644068,4.498305085,5.26559322,4116f321-03a4-4bfa-9b30-75d8e2c2392f,0dv3L5t7Rqq3NmfptBgPZB,noise
Amazing (feat. Young Jeezy),Kanye West,['dark'],4,7.142545455,5.626727273,6.219090909,,,hip-hop
True Romance,She Wants Revenge,['dark'],6,5.583333333,4.365520833,5.145729167,3849569a-1007-4ad2-991a-6a8578a818b4,2CFzjFq65y19oZyLpK2ysv,new wave
Predict the Day,Ladytron,['dark'],9,4.796794872,3.936923077,4.420512821,e3a68b94-a435-4aa5-995d-870dd79eec13,43VhYhdECwnCspLVpdHJbX,electronic
Ashtray Wasp,Burial,"['dark', 'atmospheric']",5,5.452212389,4.25460177,4.902035398,f55f6b8b-0de3-446b-8894-dd53845eccfb,5zYYYaTuAXskTtz0iHKuC4,electronic
Pretty When You Cry,Vast,['dark'],19,5.435725191,5.008167939,5.090229008,5ef5f880-4a2b-49e9-ab55-8adec9f20d77,5pA9YIWp5Ekfj0sVOYWTue,alternative
Immortal,Marina & the Diamonds,['dark'],9,5.695454545,3.88,4.984545455,b92238d3-8612-4828-a3ce-c19887551f9e,3DrmwvpXcTdlSKfU1W62P3,indie
Kingdom of Welcome Addiction,IAMX,['dark'],4,6.245263158,4.937368421,5.488947368,f830a9a8-9ae3-420b-a287-3840bf255858,5wINZ9c3nnhnwWB44sqGYy,synthpop
Dark Rift,God Is An Astronaut,"['dark', 'atmospheric']",3,5.758,4.232,4.952,c061a306-7a09-4131-8f7b-3f145fc1799b,1qrEPy0AufTJkxx1UdjAmS,post-rock
Down On Me,The Jesus and Mary Chain,"['dark', 'atmospheric']",2,5.4,4.09,4.86,d43229c1-fe1d-4f77-bda1-95e1e6af207b,0TO9ClOkdybMjOQ1oPMmFb,post-punk
Games for Days,Julian Plenti,"['dark', 'gloomy']",4,5.27125,4.72375,4.6875,f59b74a8-4cd9-4edf-a2ad-02925731e179,5tTiveFWvwhOpwyTMtmqve,indie rock
End of the Dream,Evanescence,['dark'],1,5.08,4.09,4.61,ed27d54d-e01f-46c4-8a6c-cf7de2232173,1mViHL4Vo2623ac3CdWT13,rock
Sunday,David Bowie,"['dark', 'dreamy', 'ethereal', 'atmospheric']",16,5.35972067,4.247206704,4.935642458,ecec7d71-42e3-4413-9007-71cf8b86b5a8,4RlYcmB89aA2rAMMKwPWEp,rock
Running,Menomena,['dark'],2,6.54,4.725,5.265,0c1fb756-9633-4818-91eb-6c3302592526,27CHdUhyFrtxkTrppB6IkK,indie rock
First Time,Finger Eleven,['dark'],4,4.113333333,3.808333333,4.06,bab96cfe-6bd0-4c0e-b08c-1798eb85ede9,0tpHuAqLg4NQXPSpxdEUPe,rock
Waiting for Black Metal Records to Come in the Mail,Have a Nice Life,['dark'],1,5.08,4.09,4.61,69f0c9ae-1a1b-4a3e-ba90-98e2f8655f8f,3uIA46kBcrbOII0DEXFfkI,rock
Alone,Depeche Mode,['dark'],5,5.225,3.845,4.46,51ebcaa3-b6c6-4a4a-8b60-277fa1a5d393,5oMCL7Yj466OKYzI6Ew2vf,electronic
Ocean Bed,King Krule,"['dark', 'dreamy', 'trippy', 'quirky']",6,4.603333333,3.366666667,4.616666667,cf7bb62c-2c7a-4ff8-b5bc-849a5e6adcba,6LEyiXT5LMZx5fYfth341w,indie
Wax and Wane,Cocteau Twins,"['dark', 'ethereal']",14,5.475368421,4.366,4.927052632,071887b3-2a90-44ed-97a0-026506909f12,4BUCgw9DXRdbObkhgIARgV,post-punk
Dozo,Puscifer,['dark'],3,5.711304348,4.577826087,5.217826087,1c48b3ef-00d8-4517-8ffd-8fc1278562d6,1ou9WdFSGt0i1SgtlMfpIr,industrial rock
Wretched World,Converge,"['dark', 'dramatic']",8,3.534437086,3.564834437,3.574569536,0f2fcdc9-ca17-49c4-afad-e3315c888a4c,5Ct2IAe3uGkhl09wjs3QNV,hardcore
Regret,Anathema,"['dark', 'atmospheric']",18,2.965207373,2.821428571,3.223778802,29a18f6e-c0c0-49a8-aca6-09193d1fb192,3j5mFDoqmOxS4qTY7cFKd3,doom metal
Spirit,Bauhaus,['dark'],4,5.585517241,4.307931034,5.396206897,5bec22e6-bbe5-4a79-9a35-bff5484b33bc,1O6G6dJ2KFN5Hs97YaKtGM,post-punk
Tree,Aphex Twin,"['dark', 'atmospheric']",9,4.663870968,4.266129032,4.470967742,,,ambient
(Crazy for You But) Not That Crazy,The Magnetic Fields,"['dark', 'ironic']",2,5.25,4.24,4.535,aa750a08-b8bd-4121-91e6-aaa88c7681be,1gDPUTxcq8fnS7kj0uX9aS,indie
Serious Business,Excision,['dark'],2,5.595294118,4.314117647,4.841176471,0a41cec3-2c74-4658-8140-6744aa22ce61,780XVfL1BnwyWoU2cCFNbQ,dubstep
Journeyman,Amon Tobin,"['dark', 'technical']",4,4.1575,4.43,4.5625,e8dfe81f-80c7-4768-b801-8b5d74043d91,687qZGqKcVN9g3obktSKHk,idm
Let the Poison Spill From Your Throat,The Faint,"['dark', 'fun']",3,5.264871795,4.099230769,4.592564103,59c7c2bf-fcc3-40af-b80d-1c773482db5e,4gu8DyISnJiAJUM0x5w5lG,electronic
Your Neck,Alkaline Trio,['dark'],1,5.08,4.09,4.61,af30bbe1-7e7b-44d2-879b-ba64a109e761,0wibFEtZGmFjKWIqdZ2Arm,punk
Thought It Was A Drought,Future,['dark'],2,5.88,3.45,5.805,,5ihDGnhQgMA0F0tk9fNLlA,rap
CC,Warpaint,['dark'],1,5.08,4.09,4.61,b42e7ad0-162a-4b56-b313-b465080419c8,5gw02F1XqHB4U5dCRumaMn,indie
Love Sick,Bob Dylan,"['dark', 'bittersweet']",13,3.406965517,3.856965517,3.918689655,d63d9a72-d72f-4dff-a5f1-a48e44acd434,3O1hpSOaJDW4SelgUG2XT3,folk
A Hair on the Head of John the Baptist,Saltillo,['dark'],10,5.309565217,3.941956522,4.944565217,a7a3d1f2-2ae2-4842-86b7-e777c4540e44,0toslGv7qXGkLjhZdubv1y,trip-hop
Cementality,King Krule,"['dark', 'trippy']",3,3.413333333,2.446666667,3.386666667,f298d5dd-8261-4fb7-a3bd-e9fbe82744f0,3e8tFSf7OxPlNNGu3dJUqJ,indie
The Butcher,Radiohead,['dark'],2,4.186666667,3.663333333,4.353333333,b9aab48e-6343-4d35-bfc3-45eaf1b21b12,6jIvShcsrWjHuNpPnkAhb2,electronic
The Dropsonde,Caspian,['dark'],3,4.978333333,4.34,4.543333333,eeaad4c8-d242-4958-851e-2bb8d8edbb88,1YhDTxJGMIQbr7E49KkQwi,post-rock
Give You What You Like,Avril Lavigne,['dark'],8,6.453695652,4.633586957,5.630108696,99b91df5-d55c-45ef-b4eb-71db3a6331ef,3lRSfCNYx9XvJdCL2JcdVa,indie
Sea Castle,Purity Ring,['dark'],1,5.08,4.09,4.61,,63PI19vMiCXKzwUwGtmjUX,electronic
