track,artist,seeds,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,mbid,spotify_id,genre
Custer,Slipknot,['aggressive'],1,3.08,5.87,5.49,b6b7e79d-a4c9-44ae-b0ee-b1fcc0475833,3GiJq4AQK7324mfIQbpiTf,nu metal
Welcome To The Fold,Filter,['aggressive'],6,4.158518519,4.597407407,4.78037037,45b6f9cd-3794-468d-b129-66faf0e81b39,7HFCovMwZIinGBpoZyUsKC,rock
Black,Sevendust,['aggressive'],3,4.516571429,4.666571429,5.649428571,a0dd8cf5-f2eb-44c1-91be-5e7ad41e1d16,5DoTRJlzMaGAMHPTDrfvfW,metal
Feather in a Baseball Cap,Architecture in Helsinki,"['aggressive', 'angry', 'cold', 'fun', 'gritty', 'warm', 'flowing', 'smooth', 'exciting', 'soft']",12,4.991538462,4.446923077,5.313846154,00dbbd10-54a6-4ba0-8828-e72c48ebc0c2,5j7eOw6dm05O98hHTb58IY,indie pop
Chartered Trips,Hüsker Dü,"['aggressive', 'hostile', 'intense', 'cathartic', 'fiery', 'raucous']",6,3.356,4.7,4.262,f8826f8e-8684-4df2-8489-128b9bca69f6,7jmIBvIkPcAR6yzbR7YsJH,punk
Meth Vs. Chef,Method Man,['aggressive'],1,3.08,5.87,5.49,1bc10267-18e2-458a-9f16-bf5bc07392b1,5o9jJ0aRyn7WswL4giBmMB,hip-hop
Brinx Job,Pavement,"['aggressive', 'volatile', 'relaxed', 'brash', 'wry', 'carefree', 'freewheeling', 'fun', 'warm', 'detached', 'sparkling', 'irreverent', 'summery', 'bright', 'messy', 'sprawling', 'energetic', 'quirky', 'rambunctious', 'calm', 'laid-back', 'cynical']",23,5.533679775,4.276460674,5.643792135,4e48dddb-8dc4-4b49-8bb8-cf57ab32e700,2BdKFeg6MvTXBt51AE0QKc,indie
Damaged Goods,La Dispute,"['aggressive', 'intense']",4,5.033333333,6.271666667,5.45,456fda8f-7b57-4018-b768-ec17e6a7e45e,6kapmatG5ez3ceZ3dm3DdZ,post-hardcore
Nothing's Wrong,Architecture in Helsinki,"['aggressive', 'angry', 'cold', 'fun', 'gritty', 'warm', 'flowing', 'smooth', 'soft']",13,6.0075,4.64105,5.76905,800f96f7-7fa3-4389-82cf-188d1e1729a4,7dMxExgNTBSHqNV0V4WKQW,indie
Underwater,Architecture in Helsinki,"['aggressive', 'angry', 'cold', 'ethereal', 'fun', 'gritty', 'warm', 'flowing', 'smooth', 'atmospheric', 'hypnotic', 'trippy', 'quirky', 'soft']",20,5.663252033,4.122154472,5.542357724,68d8a131-85cf-458c-b1e9-848903bc4f3b,4P8L7wvirsteaEjx4ZdSvd,indie pop
Got That Feeling,Faith No More,['aggressive'],1,3.08,5.87,5.49,bb2f93fc-d116-4bb9-ada6-ae5405d3cb2e,0RLIAMJ8EAxiN2Q8jKKNLW,alternative metal
L.A. Blues,The Stooges,['aggressive'],5,3.456,4.848,4.27,44ca62ef-f3fa-4379-9749-6304ac1088bd,1ED6dMdVwXGkXAjsJdk5f0,punk
Tabloid Junkie,Michael Jackson,['aggressive'],5,3.791111111,5.93,5.28,512d95f9-32f5-4e85-900d-fb14b447e28c,7n6DnNdKKhjyDa1GlGgLeQ,pop
Hush Hush; Hush Hush,The Pussycat Dolls,"['aggressive', 'powerful']",7,6.545111111,5.957333333,6.241222222,ec352164-18e9-4b52-881d-99442b9f9f41,2H9CKpZiLDF223BbwehpDF,pop
Beautiful,Sevendust,['aggressive'],5,5.003428571,5.160285714,5.694,8e184b15-ecf1-4b85-a07f-d012e6a9cc80,7uo6kqaAnymdnkwub1jxBR,alternative metal
Accelerator,Primal Scream,"['aggressive', 'angry', 'explosive', 'intense']",6,5.027769784,6.485035971,5.08057554,7636e7a9-b2a0-43c5-a308-3de32df647c4,1VY409A6iWgta1FPxteEUK,rock
#1 Hit Song,Minutemen,"['aggressive', 'hostile']",3,3.53,4.836666667,5.133333333,ccbd9b6b-dd4b-4e0d-9547-7f723d8b03c4,60nriFcKARUpnYksJkDqJR,post-punk
Debbie,Architecture in Helsinki,"['aggressive', 'angry', 'cold', 'uplifting', 'silly', 'gritty', 'warm', 'flowing', 'smooth', 'sweet', 'soft']",15,5.915517241,4.400229885,5.755287356,772096ab-882f-4755-8f38-a38fb92b9cf5,5aInZf4Xe3NSAFdOBfzs8G,rock
